,AT,SA,DA,Length,SRCE,DSTI
3672,2020-05-23 20:57:40+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,426,Google_home,Actie_uitsturen
3689,2020-05-23 20:58:00+02:00,ec:b5:fa:20:73:ef,01:00:5e:7f:ff:fa,1850,PhilipsHue,Actie_uitsturen
3728,2020-05-23 20:58:45+02:00,e4:ce:8f:62:3b:53,01:00:5e:7f:ff:fa,1308,Desktop,Actie_uitsturen
3738,2020-05-23 20:58:55+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,522,Google_home,Actie_uitsturen
3742,2020-05-23 20:58:55+02:00,e4:ce:8f:4c:29:ae,01:00:5e:00:00:fb,192,Laptop,Actie_uitsturen
3743,2020-05-23 20:58:55+02:00,e4:ce:8f:4c:29:ae,33:33:00:00:00:fb,212,Laptop,Actie_uitsturen
3744,2020-05-23 20:58:55+02:00,c4:ea:1d:e6:79:e8,01:00:5e:00:00:01,160,Router_intern,Actie_uitsturen
3745,2020-05-23 20:58:55+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
3747,2020-05-23 20:59:00+02:00,ec:b5:fa:20:73:ef,01:00:5e:7f:ff:fa,2329,PhilipsHue,Actie_uitsturen
3753,2020-05-23 20:59:00+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:16,180,Google_speaker,Actie_uitsturen
3760,2020-05-23 20:59:10+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,2418,Google_home,Actie_uitsturen
3762,2020-05-23 20:59:10+02:00,e4:ce:8f:4c:29:ae,01:00:5e:7f:ff:fa,1308,Laptop,Actie_uitsturen
3765,2020-05-23 20:59:10+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,5131,Google_speaker,Actie_uitsturen
3782,2020-05-23 20:59:35+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,3956,Google_home,Actie_uitsturen
3802,2020-05-23 20:59:55+02:00,ec:b5:fa:20:73:ef,01:00:5e:7f:ff:fa,2326,PhilipsHue,Actie_uitsturen
3804,2020-05-23 20:59:55+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,3518,Google_home,Actie_uitsturen
3806,2020-05-23 21:00:00+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,492,Phone1,Actie_uitsturen
