,AT,SA,DA,Length,SRCE,DSTI
1,2020-05-23 20:11:05+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1018,Google_home,Actie_uitsturen
6,2020-05-23 20:11:05+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1514,Google_speaker,Actie_uitsturen
7,2020-05-23 20:11:05+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,426,Tablet,Actie_uitsturen
10,2020-05-23 20:11:10+02:00,e4:ce:8f:4c:29:ae,01:00:5e:7f:ff:fa,1308,Laptop,Actie_uitsturen
11,2020-05-23 20:11:10+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
23,2020-05-23 20:11:20+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
34,2020-05-23 20:11:35+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:fb,2264,Tablet,Actie_uitsturen
35,2020-05-23 20:11:35+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,984,Phone1,Actie_uitsturen
36,2020-05-23 20:11:35+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:16,400,Tablet,Actie_uitsturen
38,2020-05-23 20:11:35+02:00,78:88:6d:96:a7:a2,33:33:ff:83:47:bd,196,Tablet,Actie_uitsturen
40,2020-05-23 20:11:35+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,328,Phone1,Actie_uitsturen
41,2020-05-23 20:11:35+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,2884,Tablet,Actie_uitsturen
43,2020-05-23 20:11:35+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,509,Google_home,Actie_uitsturen
46,2020-05-23 20:11:35+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2034,Google_speaker,Actie_uitsturen
47,2020-05-23 20:11:35+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:02,172,Tablet,Actie_uitsturen
49,2020-05-23 20:11:40+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1018,Google_home,Actie_uitsturen
51,2020-05-23 20:11:40+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,2256,Tablet,Actie_uitsturen
52,2020-05-23 20:11:40+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,1385,Tablet,Actie_uitsturen
53,2020-05-23 20:11:40+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:02,180,Tablet,Actie_uitsturen
54,2020-05-23 20:11:40+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:fb,1910,Tablet,Actie_uitsturen
55,2020-05-23 20:11:40+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1537,Google_speaker,Actie_uitsturen
58,2020-05-23 20:11:40+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,738,Phone1,Actie_uitsturen
61,2020-05-23 20:11:40+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,656,Phone1,Actie_uitsturen
62,2020-05-23 20:11:45+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
65,2020-05-23 20:11:45+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,710,Tablet,Actie_uitsturen
66,2020-05-23 20:11:45+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,1108,Tablet,Actie_uitsturen
67,2020-05-23 20:11:45+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:02,180,Tablet,Actie_uitsturen
68,2020-05-23 20:11:45+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:fb,730,Tablet,Actie_uitsturen
69,2020-05-23 20:11:45+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,509,Google_home,Actie_uitsturen
72,2020-05-23 20:11:45+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,246,Phone1,Actie_uitsturen
74,2020-05-23 20:11:50+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,354,Tablet,Actie_uitsturen
75,2020-05-23 20:11:50+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:fb,374,Tablet,Actie_uitsturen
81,2020-05-23 20:11:50+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,1662,Tablet,Actie_uitsturen
84,2020-05-23 20:11:55+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
92,2020-05-23 20:12:05+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
93,2020-05-23 20:12:05+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
99,2020-05-23 20:12:05+02:00,ec:89:14:fa:3a:2d,01:00:5e:7f:ff:fa,277,Phone1,Actie_uitsturen
100,2020-05-23 20:12:05+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,246,Phone1,Actie_uitsturen
102,2020-05-23 20:12:05+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,509,Google_home,Actie_uitsturen
103,2020-05-23 20:12:10+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,4068,Google_speaker,Actie_uitsturen
107,2020-05-23 20:12:10+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1527,Google_home,Actie_uitsturen
108,2020-05-23 20:12:10+02:00,ec:89:14:fa:3a:2d,01:00:5e:7f:ff:fa,554,Phone1,Actie_uitsturen
109,2020-05-23 20:12:10+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,786,Phone1,Actie_uitsturen
111,2020-05-23 20:12:10+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,426,Tablet,Actie_uitsturen
114,2020-05-23 20:12:15+02:00,c4:ea:1d:e6:79:e8,01:00:5e:00:00:01,160,Router_intern,Actie_uitsturen
115,2020-05-23 20:12:15+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,354,Tablet,Actie_uitsturen
116,2020-05-23 20:12:15+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,554,Tablet,Actie_uitsturen
117,2020-05-23 20:12:15+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:fb,374,Tablet,Actie_uitsturen
120,2020-05-23 20:12:20+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:16,180,Google_speaker,Actie_uitsturen
121,2020-05-23 20:12:20+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,262,Phone1,Actie_uitsturen
122,2020-05-23 20:12:20+02:00,ec:89:14:fa:3a:2d,01:00:5e:7f:ff:fa,831,Phone1,Actie_uitsturen
127,2020-05-23 20:12:25+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,262,Phone1,Actie_uitsturen
129,2020-05-23 20:12:25+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
132,2020-05-23 20:12:25+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1514,Google_speaker,Actie_uitsturen
135,2020-05-23 20:12:25+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1018,Google_home,Actie_uitsturen
138,2020-05-23 20:12:30+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,4005,Google_home,Actie_uitsturen
142,2020-05-23 20:12:30+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2664,Google_speaker,Actie_uitsturen
143,2020-05-23 20:12:30+02:00,ec:89:14:fa:3a:2d,01:00:5e:7f:ff:fa,554,Phone1,Actie_uitsturen
144,2020-05-23 20:12:30+02:00,ec:89:14:fa:3a:2d,33:33:00:00:00:02,180,Phone1,Actie_uitsturen
148,2020-05-23 20:12:35+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
150,2020-05-23 20:12:40+02:00,ec:89:14:fa:3a:2d,01:00:5e:7f:ff:fa,831,Phone1,Actie_uitsturen
151,2020-05-23 20:12:40+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1018,Google_home,Actie_uitsturen
152,2020-05-23 20:12:40+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,426,Tablet,Actie_uitsturen
154,2020-05-23 20:12:40+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1537,Google_speaker,Actie_uitsturen
160,2020-05-23 20:12:45+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,262,Phone1,Actie_uitsturen
163,2020-05-23 20:12:45+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
164,2020-05-23 20:12:45+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
165,2020-05-23 20:12:45+02:00,e4:ce:8f:62:3b:53,01:00:5e:7f:ff:fa,981,Desktop,Actie_uitsturen
168,2020-05-23 20:12:45+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,509,Google_home,Actie_uitsturen
174,2020-05-23 20:12:50+02:00,ec:89:14:fa:3a:2d,01:00:5e:7f:ff:fa,831,Phone1,Actie_uitsturen
178,2020-05-23 20:12:55+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,277,Tablet,Actie_uitsturen
183,2020-05-23 20:13:00+02:00,ec:89:14:fa:3a:2d,01:00:5e:7f:ff:fa,554,Phone1,Actie_uitsturen
191,2020-05-23 20:13:05+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,509,Google_home,Actie_uitsturen
195,2020-05-23 20:13:05+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
196,2020-05-23 20:13:05+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
198,2020-05-23 20:13:10+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,213,Tablet,Actie_uitsturen
201,2020-05-23 20:13:10+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,509,Google_home,Actie_uitsturen
202,2020-05-23 20:13:10+02:00,e4:ce:8f:4c:29:ae,01:00:5e:7f:ff:fa,981,Laptop,Actie_uitsturen
203,2020-05-23 20:13:10+02:00,ec:89:14:fa:3a:2d,01:00:5e:7f:ff:fa,831,Phone1,Actie_uitsturen
204,2020-05-23 20:13:10+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
207,2020-05-23 20:13:15+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,213,Tablet,Actie_uitsturen
208,2020-05-23 20:13:15+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
210,2020-05-23 20:13:15+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
215,2020-05-23 20:13:15+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,509,Google_home,Actie_uitsturen
217,2020-05-23 20:13:20+02:00,ec:89:14:fa:3a:2d,01:00:5e:7f:ff:fa,831,Phone1,Actie_uitsturen
221,2020-05-23 20:13:25+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,509,Google_home,Actie_uitsturen
223,2020-05-23 20:13:25+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
225,2020-05-23 20:13:25+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,554,Tablet,Actie_uitsturen
228,2020-05-23 20:13:25+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,262,Phone1,Actie_uitsturen
234,2020-05-23 20:13:30+02:00,ec:89:14:fa:3a:2d,01:00:5e:7f:ff:fa,831,Phone1,Actie_uitsturen
238,2020-05-23 20:13:35+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,325,Tablet,Actie_uitsturen
239,2020-05-23 20:13:35+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
240,2020-05-23 20:13:35+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:fb,345,Tablet,Actie_uitsturen
243,2020-05-23 20:13:40+02:00,ec:89:14:fa:3a:2d,01:00:5e:7f:ff:fa,831,Phone1,Actie_uitsturen
249,2020-05-23 20:13:45+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,426,Tablet,Actie_uitsturen
250,2020-05-23 20:13:45+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
252,2020-05-23 20:13:45+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,770,Phone1,Actie_uitsturen
253,2020-05-23 20:13:45+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2034,Google_speaker,Actie_uitsturen
256,2020-05-23 20:13:45+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1018,Google_home,Actie_uitsturen
257,2020-05-23 20:13:50+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1018,Google_home,Actie_uitsturen
261,2020-05-23 20:13:50+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,492,Phone1,Actie_uitsturen
264,2020-05-23 20:13:50+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2034,Google_speaker,Actie_uitsturen
267,2020-05-23 20:13:55+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,554,Tablet,Actie_uitsturen
270,2020-05-23 20:13:55+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:16,180,Google_speaker,Actie_uitsturen
281,2020-05-23 20:14:05+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
286,2020-05-23 20:14:10+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,246,Phone1,Actie_uitsturen
288,2020-05-23 20:14:10+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,2489,Google_home,Actie_uitsturen
291,2020-05-23 20:14:10+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,3320,Google_speaker,Actie_uitsturen
294,2020-05-23 20:14:15+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,426,Tablet,Actie_uitsturen
296,2020-05-23 20:14:15+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,509,Google_home,Actie_uitsturen
297,2020-05-23 20:14:15+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2034,Google_speaker,Actie_uitsturen
299,2020-05-23 20:14:15+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,554,Tablet,Actie_uitsturen
307,2020-05-23 20:14:25+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,554,Tablet,Actie_uitsturen
310,2020-05-23 20:14:30+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,246,Phone1,Actie_uitsturen
314,2020-05-23 20:14:30+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,509,Google_home,Actie_uitsturen
315,2020-05-23 20:14:30+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
317,2020-05-23 20:14:35+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
325,2020-05-23 20:14:40+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,328,Phone1,Actie_uitsturen
330,2020-05-23 20:14:45+02:00,e4:ce:8f:62:3b:53,01:00:5e:00:00:fb,654,Desktop,Actie_uitsturen
331,2020-05-23 20:14:45+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2034,Google_speaker,Actie_uitsturen
332,2020-05-23 20:14:45+02:00,e4:ce:8f:62:3b:53,01:00:5e:7f:ff:fa,981,Desktop,Actie_uitsturen
333,2020-05-23 20:14:45+02:00,e4:ce:8f:62:3b:53,33:33:00:00:00:fb,674,Desktop,Actie_uitsturen
337,2020-05-23 20:14:45+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,426,Tablet,Actie_uitsturen
339,2020-05-23 20:14:45+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1018,Google_home,Actie_uitsturen
340,2020-05-23 20:14:45+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,554,Tablet,Actie_uitsturen
352,2020-05-23 20:14:55+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
358,2020-05-23 20:15:05+02:00,ec:b5:fa:20:73:ef,01:00:5e:7f:ff:fa,2790,PhilipsHue,Actie_uitsturen
359,2020-05-23 20:15:05+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,554,Tablet,Actie_uitsturen
365,2020-05-23 20:15:10+02:00,e4:ce:8f:4c:29:ae,01:00:5e:7f:ff:fa,1308,Laptop,Actie_uitsturen
370,2020-05-23 20:15:15+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,509,Google_home,Actie_uitsturen
371,2020-05-23 20:15:15+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,213,Tablet,Actie_uitsturen
372,2020-05-23 20:15:15+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
374,2020-05-23 20:15:15+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,520,Google_speaker,Actie_uitsturen
384,2020-05-23 20:15:25+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
393,2020-05-23 20:15:35+02:00,c4:ea:1d:e6:79:e8,01:00:5e:00:00:01,160,Router_intern,Actie_uitsturen
397,2020-05-23 20:15:35+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
404,2020-05-23 20:15:45+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,554,Tablet,Actie_uitsturen
405,2020-05-23 20:15:45+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,213,Tablet,Actie_uitsturen
407,2020-05-23 20:15:45+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,509,Google_home,Actie_uitsturen
410,2020-05-23 20:15:45+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
413,2020-05-23 20:15:50+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,3051,Google_speaker,Actie_uitsturen
416,2020-05-23 20:15:50+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,213,Tablet,Actie_uitsturen
418,2020-05-23 20:15:50+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,738,Phone1,Actie_uitsturen
419,2020-05-23 20:15:50+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,328,Phone1,Actie_uitsturen
421,2020-05-23 20:15:50+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1527,Google_home,Actie_uitsturen
423,2020-05-23 20:15:55+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,2024,Google_home,Actie_uitsturen
426,2020-05-23 20:15:55+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
427,2020-05-23 20:15:55+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2346,Google_speaker,Actie_uitsturen
435,2020-05-23 20:16:00+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,328,Phone1,Actie_uitsturen
437,2020-05-23 20:16:05+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
438,2020-05-23 20:16:05+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,421,Google_home,Actie_uitsturen
440,2020-05-23 20:16:05+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,727,Google_speaker,Actie_uitsturen
456,2020-05-23 20:16:15+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
457,2020-05-23 20:16:20+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1018,Google_home,Actie_uitsturen
458,2020-05-23 20:16:20+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,426,Tablet,Actie_uitsturen
461,2020-05-23 20:16:20+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
465,2020-05-23 20:16:25+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
478,2020-05-23 20:16:35+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
485,2020-05-23 20:16:45+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,554,Tablet,Actie_uitsturen
486,2020-05-23 20:16:45+02:00,e4:ce:8f:62:3b:53,01:00:5e:7f:ff:fa,1308,Desktop,Actie_uitsturen
496,2020-05-23 20:16:50+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1018,Google_home,Actie_uitsturen
498,2020-05-23 20:16:50+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2034,Google_speaker,Actie_uitsturen
499,2020-05-23 20:16:50+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,426,Tablet,Actie_uitsturen
503,2020-05-23 20:16:55+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
510,2020-05-23 20:17:00+02:00,ec:b5:fa:20:73:ef,01:00:5e:7f:ff:fa,2790,PhilipsHue,Actie_uitsturen
519,2020-05-23 20:17:05+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
521,2020-05-23 20:17:10+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1537,Google_speaker,Actie_uitsturen
525,2020-05-23 20:17:10+02:00,e4:ce:8f:4c:29:ae,01:00:5e:7f:ff:fa,981,Laptop,Actie_uitsturen
527,2020-05-23 20:17:10+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,738,Phone1,Actie_uitsturen
528,2020-05-23 20:17:10+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,164,Phone1,Actie_uitsturen
534,2020-05-23 20:17:15+02:00,c4:ea:1d:e6:79:e8,01:00:5e:00:00:01,160,Router_intern,Actie_uitsturen
535,2020-05-23 20:17:15+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
536,2020-05-23 20:17:20+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,328,Phone1,Actie_uitsturen
537,2020-05-23 20:17:20+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,426,Tablet,Actie_uitsturen
539,2020-05-23 20:17:20+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1514,Google_speaker,Actie_uitsturen
542,2020-05-23 20:17:20+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1018,Google_home,Actie_uitsturen
545,2020-05-23 20:17:25+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,554,Tablet,Actie_uitsturen
555,2020-05-23 20:17:35+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
558,2020-05-23 20:17:35+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,726,Google_speaker,Actie_uitsturen
559,2020-05-23 20:17:35+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,330,Google_home,Actie_uitsturen
563,2020-05-23 20:17:40+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,325,Tablet,Actie_uitsturen
564,2020-05-23 20:17:40+02:00,78:88:6d:96:a7:a2,33:33:00:00:00:fb,345,Tablet,Actie_uitsturen
572,2020-05-23 20:17:45+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
574,2020-05-23 20:17:50+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1652,Google_home,Actie_uitsturen
577,2020-05-23 20:17:50+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,426,Tablet,Actie_uitsturen
579,2020-05-23 20:17:50+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,431,Google_speaker,Actie_uitsturen
581,2020-05-23 20:17:55+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
588,2020-05-23 20:18:00+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,984,Phone1,Actie_uitsturen
589,2020-05-23 20:18:00+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1018,Google_home,Actie_uitsturen
593,2020-05-23 20:18:00+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,2034,Google_speaker,Actie_uitsturen
594,2020-05-23 20:18:00+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,492,Phone1,Actie_uitsturen
601,2020-05-23 20:18:05+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
607,2020-05-23 20:18:15+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,554,Tablet,Actie_uitsturen
610,2020-05-23 20:18:20+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,246,Phone1,Actie_uitsturen
611,2020-05-23 20:18:20+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,213,Tablet,Actie_uitsturen
612,2020-05-23 20:18:20+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,509,Google_home,Actie_uitsturen
614,2020-05-23 20:18:20+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,164,Phone1,Actie_uitsturen
617,2020-05-23 20:18:20+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
620,2020-05-23 20:18:25+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
622,2020-05-23 20:18:25+02:00,78:88:6d:96:a7:a2,01:00:5e:00:00:fb,213,Tablet,Actie_uitsturen
624,2020-05-23 20:18:25+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,1527,Google_home,Actie_uitsturen
626,2020-05-23 20:18:25+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,246,Phone1,Actie_uitsturen
628,2020-05-23 20:18:25+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1514,Google_speaker,Actie_uitsturen
630,2020-05-23 20:18:25+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:16,164,Phone1,Actie_uitsturen
639,2020-05-23 20:18:35+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,554,Tablet,Actie_uitsturen
649,2020-05-23 20:18:45+02:00,ec:89:14:fa:3a:2d,01:00:5e:00:00:fb,246,Phone1,Actie_uitsturen
651,2020-05-23 20:18:45+02:00,00:f6:20:f9:03:47,01:00:5e:00:00:fb,1017,Google_speaker,Actie_uitsturen
652,2020-05-23 20:18:45+02:00,78:88:6d:96:a7:a2,01:00:5e:7f:ff:fa,831,Tablet,Actie_uitsturen
654,2020-05-23 20:18:45+02:00,e4:ce:8f:62:3b:53,01:00:5e:7f:ff:fa,981,Desktop,Actie_uitsturen
656,2020-05-23 20:18:45+02:00,d4:f5:47:27:f9:8e,01:00:5e:00:00:fb,3144,Google_home,Actie_uitsturen
